"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"70",2.5,0,100,100,97.5,100
"71",2.5,0,100,100,97.5,100
"72",5.5,13,100,100,94.5,87
"73",0,0,100,100,100,100
"74",0,3,100,100,100,97
"75",0,3,99.5,99.5,99.5,96.5
"76",2,0.5,100,100,98,99.5
"77",0,2.5,100,100,100,97.5
"78",0.5,0,100,100,99.5,100
"79",0,0,99.5,99.5,99.5,99.5
"80",0,1.5,100,100,100,98.5
"81",0.5,0,100,100,99.5,100
"82",0,2.5,100,100,100,97.5
"83",0.5,2,100,100,99.5,98
"84",0,6.5,100,100,100,93.5
"85",0,0,100,100,100,100
"86",0,3.5,100,100,100,96.5
"87",0,0,100,100,100,100
"88",18,4,100,100,82,96
"89",11,20,100,100,89,80
"90",0,1.5,100,100,100,98.5
"91",6,1,100,100,94,99
"92",0,0,100,100,100,100
"93",0.5,0,100,100,99.5,100
"94",0,0,100,100,100,100
"95",2.5,5.5,100,100,97.5,94.5
"96",0,0,100,100,100,100
"97",2,6,100,100,98,94
"98",0.5,0.5,100,100,99.5,99.5
"99",21.5,6.5,100,100,78.5,93.5
"100",23.5,8.5,100,100,76.5,91.5
"101",0,1,100,100,100,99
"102",0,5.5,100,100,100,94.5
"103",16,0,100,100,84,100
"104",0,0,100,100,100,100
"105",0,0,100,100,100,100
"106",0.5,0,100,100,99.5,100
"107",2,0,100,100,98,100
"108",15,0,100,100,85,100
"109",0,2,100,100,100,98
"110",0.5,0,100,100,99.5,100
"111",1,10,100,100,99,90
"112",1,0,100,100,99,100
"113",1.5,0,100,100,98.5,100
"114",3.5,4,100,100,96.5,96
"115",0,1.5,100,100,100,98.5
"116",4.5,5,100,100,95.5,95
"117",4,2.5,100,100,96,97.5
"118",3.5,0,100,100,96.5,100
"119",0,0,100,100,100,100
"120",0,0,100,100,100,100
